"PVWatts Hourly PV Performance Data"
"Requested Location","denton, tx"
"Location","Lat, Lng: 33.21, -97.14"
"Latitude (DD)","33.21"
"Longitude (DD)","-97.14"
"Elevation (m)","202.67999267578"
"DC System Size (kW)","100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","11","127","243","2","2.3","0.16","362.892","10.33","32503.047","30954.979"
"1","2","12","348","236","2","2.4","0.16","548.23","14.363","48871.124","46743.069"
"1","2","13","399","212","3","2.4","0.16","551.073","15.438","49091.654","46955.785"
"1","2","14","319","188","4","2.1","0.16","433.999","14.39","38868.32","37094.704"
"1","2","15","458","107","4","1.5","0.16","383.738","14.458","34671.636","33046.726"
"1","2","16","391","59","3","0.8","0.16","220.602","10.031","18916.604","17849.957"
"1","2","17","0","0","2","0.4","0.16","0","0","0","0"
"1","2","18","0","0","2","0.3","0.16","0","2","0","0"
"1","2","19","0","0","1","0.5","0.16","0","1","0","0"
"1","2","20","0","0","0","0.9","0.16","0","0","0","0"
"1","2","21","0","0","0","1.2","0.16","0","0","0","0"
"1","2","22","0","0","0","1.3","0.16","0","0","0","0"
"1","2","23","0","0","-1","1.4","0.16","0","-1","0","0"
"1","3","0","0","0","-2","1.5","0.16","0","-2","0","0"
"1","3","1","0","0","-2","1.7","0.16","0","-2","0","0"
"1","3","2","0","0","-2","1.9","0.16","0","-2","0","0"
"1","3","3","0","0","-2","2.1","0.16","0","-2","0","0"
"1","3","4","0","0","-3","2.4","0.16","0","-3","0","0"
"1","3","5","0","0","-3","2.5","0.16","0","-3","0","0"
"1","3","6","0","0","-3","2.6","0.16","0","-3","0","0"
"1","3","7","0","0","-2","3.1","0.16","0","-2","0","0"
"1","3","8","592","42","0","3.3","0.16","264.565","5.026","22753.2","21550.608"
"1","3","9","793","61","2","3.3","0.16","507.535","11.856","46704.534","44653.251"
"1","3","10","883","71","5","3.5","0.16","696.837","18.091","62388.708","59781.672"
"1","3","11","929","74","6","3.5","0.16","812.94","21.251","71501.75","68571.803"
"1","3","12","949","72","7","3.6","0.16","857.953","22.841","74832.616","71784.643"
"1","3","13","486","191","8","3.4","0.16","607.034","19.545","53380.168","51092.34"
"1","3","14","898","66","8","3.1","0.16","707.201","22.165","62357.204","59751.284"
"1","3","15","793","63","7","2.4","0.16","523.128","18.869","46921.148","44862.189"
"1","3","16","611","44","5","1.5","0.16","286.181","12.676","24386.332","23125.871"
"1","3","17","0","0","2","1.2","0.16","0","0","0","0"
"1","3","18","0","0","2","1.2","0.16","0","2","0","0"
"1","3","19","0","0","2","1.2","0.16","0","2","0","0"
"1","3","20","0","0","1","1.2","0.16","0","1","0","0"
"1","3","21","0","0","1","1.2","0.16","0","1","0","0"
"1","3","22","0","0","1","1.1","0.16","0","1","0","0"
"1","3","23","0","0","0","1.1","0.16","0","0","0","0"
"1","4","0","0","0","0","1.2","0.16","0","0","0","0"
"1","4","1","0","0","0","1.2","0.16","0","0","0","0"
"1","4","2","0","0","0","1.1","0.16","0","0","0","0"
"1","4","3","0","0","0","1.1","0.16","0","0","0","0"
"1","4","4","0","0","0","1.1","0.16","0","0","0","0"
"1","4","5","0","0","0","1.1","0.16","0","0","0","0"
"1","4","6","0","0","0","1","0.16","0","0","0","0"
"1","4","7","0","0","0","0.7","0.16","0","0","0","0"
"1","4","8","0","51","2","0.4","0.16","49.255","3.767","4187.078","3642.357"
"1","4","9","39","128","5","0.4","0.16","153.266","10.532","13527.997","12652.29"
"1","4","10","13","166","7","0.7","0.16","170.937","12.647","14880.805","13957.163"
"1","4","11","43","222","8","0.8","0.16","263.077","16.451","22771.158","21567.929"
"1","4","12","75","251","9","0.9","0.16","322.379","19.084","27751.894","26372.178"
"1","4","13","153","249","10","0.9","0.16","390.809","22.241","33545.083","31960.091"
"1","4","14","343","186","9","0.8","0.16","449.401","23.498","38935.405","37159.412"
"1","4","15","215","140","8","0.7","0.16","279.421","17.272","24651.868","23381.998"
"1","4","16","592","46","7","0.6","0.16","284.988","16.594","23985.963","22739.689"
"1","4","17","0","0","5","0.8","0.16","0","0","0","0"
"1","4","18","0","0","4","1","0.16","0","4","0","0"
"1","4","19","0","0","3","1.1","0.16","0","3","0","0"
"1","4","20","0","0","3","1","0.16","0","3","0","0"
"1","4","21","0","0","2","1","0.16","0","2","0","0"
"1","4","22","0","0","2","1","0.16","0","2","0","0"
"1","4","23","0","0","2","1.1","0.16","0","2","0","0"
"1","5","0","0","0","1","1.1","0.16","0","1","0","0"
"1","5","1","0","0","1","1","0.16","0","1","0","0"
"1","5","2","0","0","0","1","0.16","0","0","0","0"
"1","5","3","0","0","0","1","0.16","0","0","0","0"
"1","5","4","0","0","0","1.1","0.16","0","0","0","0"
"1","5","5","0","0","0","1.2","0.16","0","0","0","0"
"1","5","6","0","0","0","1.2","0.16","0","0","0","0"
"1","5","7","0","0","1","1.6","0.16","0","1","0","0"
"1","5","8","520","48","3","2.4","0.16","247.198","8.489","20987.346","19847.325"
"1","5","9","747","70","5","2.9","0.16","491.811","15.203","44670.587","42691.374"
"1","5","10","48","189","7","3","0.16","228.517","11.63","20195.934","19083.956"
"1","5","11","911","84","9","3","0.16","811.523","25.503","70225.313","67340.595"
"1","5","12","939","82","10","2.9","0.16","863.422","27.85","73868.594","70854.78"
"1","5","13","937","78","11","2.7","0.16","832.23","28.824","71089.67","68174.324"
"1","5","14","904","72","11","2.4","0.16","721.69","27.347","62376.933","59770.314"
"1","5","15","819","63","10","1.6","0.16","541.013","24.438","47538.979","45458.127"
"1","5","16","642","45","8","1.1","0.16","301.667","16.901","25423.394","24126.186"
"1","5","17","0","0","6","1.2","0.16","0","0","0","0"
"1","5","18","0","0","4","1.3","0.16","0","4","0","0"
"1","5","19","0","0","3","1.4","0.16","0","3","0","0"
"1","5","20","0","0","3","1.3","0.16","0","3","0","0"
"1","5","21","0","0","2","1.3","0.16","0","2","0","0"
"1","5","22","0","0","1","1.3","0.16","0","1","0","0"
"1","5","23","0","0","0","1.3","0.16","0","0","0","0"
"1","6","0","0","0","0","1.3","0.16","0","0","0","0"
"1","6","1","0","0","0","1.5","0.16","0","0","0","0"
"1","6","2","0","0","0","1.8","0.16","0","0","0","0"
"1","6","3","0","0","-1","2.2","0.16","0","-1","0","0"
"1","6","4","0","0","-1","2.7","0.16","0","-1","0","0"
"1","6","5","0","0","-2","2.9","0.16","0","-2","0","0"
"1","6","6","0","0","-2","3","0.16","0","-2","0","0"
"1","6","7","0","0","-1","3.4","0.16","0","-1","0","0"
"1","6","8","646","38","0","3.5","0.16","277.893","5.111","23851.072","22609.577"
"1","6","9","848","55","3","3.1","0.16","529.261","13.62","48436.747","46324.084"
"1","6","10","935","64","7","3.5","0.16","719.801","20.524","63894.772","61234.37"
"1","6","11","975","69","10","3.9","0.16","844.433","24.916","73245.232","70253.506"
"1","6","12","986","71","11","3.9","0.16","889.855","26.709","76452.681","73347.303"
"1","6","13","976","70","12","3.8","0.16","855.017","27.324","73444.597","70445.807"
"1","6","14","941","65","12","3.6","0.16","741.134","25.709","64461.033","61780.566"
"1","6","15","866","57","11","2.6","0.16","558.913","23.225","49374.84","47228.937"
"1","6","16","701","41","8","1.6","0.16","321.371","16.441","27202.01","25841.778"
"1","6","17","0","0","5","1.4","0.16","0","0","0","0"
"1","6","18","0","0","4","1.4","0.16","0","4","0","0"
"1","6","19","0","0","4","1.4","0.16","0","4","0","0"
"1","6","20","0","0","3","1.4","0.16","0","3","0","0"
